Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
1987,20,Jim Farmer,0,193,86,2944,453,957,36,93,255,325,0,390,189,90,7,180,273,1197,0,0
1987,21,Dallas Comegys,0,206,93,3423,607,1180,0,0,399,588,0,714,0,95,297,222,288,1613,0,0
1987,22,Reggie Lewis,1,201,88,4187,1043,2098,30,91,592,783,0,964,213,226,155,334,325,2708,1,1
1987,23,Greg Anderson,0,208,104,3457,676,1230,0,0,310,538,0,1045,59,133,227,252,317,1662,0,0
1987,25,Ron Moore,0,213,118,1122,1111,1966,0,0,428,743,0,1333,0,128,182,97,126,2650,0,0
1987,26,Steve Alford,0,188,83,0,898,1685,107,202,535,596,0,345,385,178,7,226,209,2438,0,0
1987,27,Nate Blackwell,0,193,77,4563,625,1445,0,0,352,425,0,437,0,159,13,236,224,1708,0,0
1987,28,Rickie Winslow,0,203,102,4087,631,1154,0,0,283,449,0,969,0,207,102,245,409,1548,0,0
1987,30,Nikita Wilson,0,203,91,3192,563,1037,0,0,258,365,0,699,0,67,77,209,303,1384,0,0
1988,1,Danny Manning,1,208,104,4961,1216,2049,10,29,509,688,0,1187,342,250,200,393,473,2951,1,1
1988,2,Rik Smits,1,224,113,3141,756,1241,0,2,433,625,0,811,46,22,345,126,158,1945,1,1
1988,3,Charles Smith,0,208,104,4103,707,1414,3,11,628,834,0,987,171,114,346,249,392,2045,0,1
1988,4,Chris Morris,0,203,95,4058,694,1386,42,124,287,403,0,860,281,189,141,206,343,1717,0,1
1988,5,Mitch Richmond,1,196,98,2164,469,971,85,206,304,395,0,383,205,61,26,197,156,1327,1,1
1988,6,Hersey Hawkins,1,190,86,4716,1100,2041,118,329,690,856,0,818,400,259,76,298,310,3008,1,1
1988,7,Tim Perry,0,206,91,4096,553,1016,0,0,262,433,0,985,35,81,392,152,293,1368,0,0
1988,8,Rex Chapman,0,193,84,2070,404,851,134,335,131,170,0,159,220,89,31,155,116,1073,0,1
1988,9,Rony Seikaly,0,211,104,3794,652,1165,0,1,412,715,0,1094,86,88,319,275,448,1716,0,1
1988,10,Willie Anderson,0,201,86,2781,546,1092,35,108,221,282,0,417,434,140,122,303,254,1348,0,1
