Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2010,30,Lazar Hayward,0,198,102,1097,667,1476,169,473,356,451,72,910,122,158,43,195,115,1859,0,0
2011,1,Kyrie Irving,1,190,88,303,55,104,18,39,64,71,6,37,47,16,6,27,23,192,1,1
2011,2,Derrick Williams,0,203,109,2016,388,662,46,90,405,563,173,533,65,56,46,160,184,1227,0,0
#2011,3,Enes Kanter,0,211,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,Tristan Thompson,0,206,108,1104,172,315,0,0,127,261,138,282,45,34,86,64,100,471,0,0
#2011,5,Jonas Valanciunas,0,213,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
#2011,6,Jan Vesely,0,211,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2011,7,Bismack Biyombo,0,206,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,8,Brandon Knight,0,190,86,1363,217,513,87,231,136,171,25,153,159,25,8,120,83,657,0,1
2011,9,Kemba Walker,1,185,78,2740,578,1350,126,387,501,640,85,493,460,185,28,258,115,1783,1,1
2011,10,Jimmer Fredette,0,188,88,2382,838,1843,296,752,627,711,49,367,515,167,12,350,85,2599,0,0
2011,11,Klay Thompson,1,201,98,2275,599,1414,242,620,316,382,62,475,259,130,74,289,174,1756,1,1
2011,12,Alec Burks,0,198,97,2100,423,855,47,150,398,495,149,397,165,76,24,157,163,1291,0,0
2011,13,Markieff Morris,0,208,111,1558,341,617,38,94,203,311,166,662,126,60,103,172,200,923,0,1
2011,14,Marcus Morris,0,206,107,1965,508,916,44,123,311,471,195,676,137,102,48,172,191,1371,0,0
2011,15,Kawhi Leonard,1,201,104,2236,377,840,41,164,195,262,230,716,156,98,45,153,174,990,1,1
2011,16,Nikola Vucevic,1,213,118,2409,367,721,37,122,191,256,213,694,97,45,95,129,212,962,0,1
2011,17,Iman Shumpert,1,196,100,1896,387,977,111,364,281,381,80,412,382,207,17,280,155,1166,0,1
2011,18,Chris Singleton,0,203,104,1819,336,802,104,315,199,336,124,586,140,180,136,227,185,975,0,0
2011,19,Tobias Harris,1,206,107,993,185,402,23,76,128,170,67,247,44,24,29,62,70,521,0,1
#2011,20,Donatas Motiejunas,0,213,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,21,Nolan Smith,0,188,84,2608,668,1491,166,451,411,514,79,398,406,142,19,292,139,1913,0,0
2011,22,Kenneth Faried,1,203,103,2276,783,1376,3,12,440,755,348,1673,117,228,241,304,223,2009,0,1
#2011,23,Nikola Mirotic,0,208,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,24,Reggie Jackson,1,190,94,2095,455,979,121,345,223,296,94,433,350,83,46,203,120,1254,0,1
2011,25,MarShon Brooks,0,196,91,1992,587,1265,158,475,297,402,127,486,175,129,81,207,152,1629,0,0
2011,26,Jordan Hamilton,0,201,100,1835,366,852,148,393,132,186,106,402,126,58,35,124,107,1012,0,0
2011,27,JaJuan Johnson,0,208,100,2296,706,1410,15,60,492,662,164,853,95,93,263,188,124,1919,0,0
2011,28,Norris Cole,0,188,79,2412,677,1555,139,433,485,587,41,443,455,207,11,283,168,1978,0,0
2011,29,Cory Joseph,0,190,88,1166,136,322,52,126,51,73,23,128,109,37,11,54,65,375,0,0
2011,30,Jimmy Butler,1,203,107,2447,390,768,36,94,461,596,172,579,180,115,50,110,117,1277,1,1
2012,1,Anthony Davis,1,208,115,1281,210,337,3,20,144,203,119,415,50,54,186,41,78,567,1,1
2012,2,Michael Kidd-Gilchrist,0,201,105,1245,160,326,13,51,143,192,103,297,75,39,37,87,97,476,0,1
2012,3,Bradley Beal,1,196,94,1267,175,393,63,186,133,173,50,249,83,51,31,79,76,546,1,1
2012,4,Dion Waiters,0,193,102,1445,248,547,69,198,125,166,30,138,142,105,16,78,115,690,0,0
2012,5,Thomas Robinson,0,208,108,1960,395,753,7,14,229,378,221,763,101,63,74,173,217,1026,0,0
2012,6,Damian Lillard,1,190,88,2452,584,1310,246,630,520,600,34,444,362,129,19,246,143,1934,1,1
2012,7,Harrison Barnes,0,203,95,2198,438,1018,116,332,234,319,149,414,96,68,29,146,140,1226,0,1
2012,8,Terrence Ross,0,201,93,1681,317,700,116,319,97,127,77,321,82,63,45,94,168,847,0,0
2012,9,Andre Drummond,1,211,127,967,157,292,0,2,26,88,114,257,15,28,92,52,75,340,1,1
2012,10,Austin Rivers,0,193,91,1129,174,402,58,159,121,184,21,115,71,33,1,79,76,527,0,0
2012,11,Meyers Leonard,0,216,111,1290,198,349,1,12,105,144,83,303,48,20,73,94,144,502,0,0
2012,12,Jeremy Lamb,0,196,84,2406,399,828,117,336,145,180,82,349,124,77,46,120,121,1060,0,0
2012,13,Kendall Marshall,0,193,91,2101,181,406,48,131,113,163,12,171,581,83,9,193,106,523,0,0
2012,14,John Henson,0,211,104,2594,475,955,5,24,169,349,269,886,108,69,277,166,159,1124,0,0
2012,15,Maurice Harkless,0,206,98,1155,193,427,17,79,94,139,88,276,47,51,45,80,74,497,0,0
2012,16,Royce White,0,203,122,1072,175,328,4,12,102,205,85,316,170,40,32,130,89,456,0,0
2012,17,Tyler Zeller,0,213,115,2579,548,1010,0,2,407,525,305,788,69,78,130,165,251,1503,0,0
2012,18,Terrence Jones,0,206,114,2311,383,820,42,128,256,401,188,608,111,92,140,137,182,1064,0,0
2012,19,Andrew Nicholson,0,206,113,2918,809,1407,29,77,456,633,207,887,87,61,244,296,272,2103,0,0
#2012,20,Evan Fournier,1,201,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,21,Jared Sullinger,0,206,118,2295,450,849,19,52,363,495,247,717,89,80,59,130,199,1282,0,0
